Tên nhóm hàng,Tên NPP,KM GPS có hàng,Thời gian vận chuyển (giờ)
RE Sugar,"CÔNG TY TNHH MTV VIETNAT, CÔNG TY LIÊN DOANH MEYER-BPC",143.5373145,753.0666666666667
RE Sugar,CÔNG TY CỔ PHẦN SỮA QUỐC TẾ LOF,84.06615316,753.6333333333333
RE Sugar,CÔNG TY CỔ PHẦN THỰC PHẨM CHOLIMEX,79.4104517,761.6166666666667
RE Sugar,CÔNG TY TNHH DƯỢC PHẨM SÀI GÒN,48.55114753,5.316666666666666
RS Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,15.24528072,10.516666666666667
RS Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,8.877350211,5.3
"Functional Sugar, Juice, RE Sugar, Brown Sugar, Plant-based Milk, Monorock","CÔNG TY TNHH DỊCH VỤ EB, CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM - CN BÀ RỊA VŨNG TÀU",89.90997078,6.733333333333333
"Invert Syrup, Brown Sugar, Functional Sugar, RE Sugar, Plant-based Milk, Juice, Organic Sugar","CÔNG TY TNHH DỊCH VỤ EB, CÔNG TY TNHH THỰC PHẨM ORION VINA, CÔNG TY TNHH OTOKI VIET NAM",54.82852222,8.366666666666667
"Brown Sugar, RE Sugar, Monorock, RS Sugar",LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM,53.94231502,5.95
Miaqua Water,CÔNG TY CỔ PHẦN GIAO DỊCH HÀNG HÓA SƠN TÍN,23.30313182,3.45
"Functional Sugar, RE Sugar, RE Sugar (IM)","CÔNG TY TNHH MỘT THÀNH VIÊN CHẾ BIẾN THỰC PHẨM THỌ PHÁT, HỘ KINH DOANH KẸO DẺO HƯỚNG DƯƠNG",119.1289639,9.7
RE Sugar,CÔNG TY TNHH PERFETTI VAN MELLE( VIỆT NAM),105.6149459,748.7833333333333
"Invert Syrup, RS Sugar, Monorock, Juice, Brown Sugar",DOANH NGHIỆP TƯ NHÂN ĐOÀN NGUYÊN,10.05859364,1.75
RE Sugar,CÔNG TY TNHH MTV MASAN HG,252.184323,735.6166666666667
